Vuelo,Fecha,HoraSalida,HoraLlegada,ValorMin,ValorMedio,ValorMax,CiudadOrigen,CiudadDestino
Z328,2024-06-5,08:13:00,10:35:00,244463.0,538669.0,1666594.0,SantaMarta,Bogota
X633,2024-06-6,02:55:00,05:58:00,483669.0,640186.0,4023518.0,SantaMarta,Cartagena
G611,2024-06-12,16:50:00,17:07:00,295876.0,915371.0,2684321.0,Medellin,SantaMarta
N891,2024-06-13,07:15:00,11:48:00,438164.0,692289.0,2927741.0,Cali,Bogota
E350,2024-06-26,15:52:00,17:10:00,279458.0,506496.0,1066916.0,Cartagena,Bogota
J773,2024-06-6,10:21:00,11:03:00,293612.0,972660.0,4265332.0,Bogota,SantaMarta
B552,2024-06-13,13:28:00,15:29:00,390970.0,781301.0,2636179.0,Cali,Bogota
I352,2024-06-19,18:33:00,20:33:00,112548.0,607120.0,3138340.0,Cartagena,Medellin
Y874,2024-06-5,15:17:00,16:50:00,108548.0,889209.0,4215978.0,SantaMarta,Cartagena
A823,2024-06-19,02:55:00,06:03:00,286051.0,887727.0,1794728.0,Medellin,Bogota
J837,2024-06-5,17:01:00,18:02:00,182306.0,601733.0,3060789.0,Cartagena,Bogota
Z343,2024-06-19,13:47:00,17:42:00,248460.0,849734.0,1382792.0,Cali,Medellin
E747,2024-06-19,06:53:00,09:52:00,426098.0,767319.0,4081864.0,Medellin,Bogota
D141,2024-06-27,17:29:00,20:54:00,330781.0,531990.0,2817297.0,Cartagena,Bogota
E387,2024-06-26,03:32:00,07:00:00,473622.0,609433.0,2821653.0,Cartagena,Medellin
P636,2024-06-12,10:52:00,12:50:00,183918.0,644497.0,3018149.0,SantaMarta,Bogota
K776,2024-06-6,19:01:00,21:36:00,340848.0,968318.0,1259865.0,SantaMarta,Cali
W556,2024-06-19,21:50:00,23:03:00,169404.0,896128.0,4830564.0,Cartagena,Medellin
L703,2024-06-19,07:09:00,07:17:00,107432.0,765044.0,1848939.0,SantaMarta,Cali
L890,2024-06-20,11:09:00,13:32:00,391458.0,673038.0,4485596.0,Medellin,Cartagena
G714,2024-06-20,08:01:00,10:34:00,368435.0,552773.0,3427251.0,Bogota,Cartagena
H152,2024-06-12,19:12:00,23:48:00,143776.0,899772.0,3900612.0,Cartagena,SantaMarta
